"","0_2021_Tagging to 1_2022_Overwintering","1_2022_Overwintering to 2_2022_Spring_Spawning","2_2022_Spring_Spawning to 3_2022_Oversummering","3_2022_Oversummering to 4_2023_Overwintering","4_2023_Overwintering to 5_2023_Spring_Spawning","5_2023_Spring_Spawning to 6_2023_Oversummering"
"104",6.52577190881108,4.3504507149429,2.95920368889335,NA,NA,NA
"105",1.9789063857342,1.8586520724243,0.100000000000017,0.294303167633085,2.14024155506881,1.85669841437396
"106",2.2915327030171,2.51178701632701,0.100000000000017,2.26162418553136,1.85913453073544,0.0542572562215846
"107",21.9417065979804,8.90616189415126,13.0355447038291,21.9417065979804,0.301072590819393,NA
"108",8.71640942035424,NA,NA,NA,NA,NA
"109",5.07588702918122,5.45695878617112,7.92275736383198,NA,NA,NA
"110",10.7411084610979,4.06851509088654,6.97545669904004,11.5935292484532,1.61247452116018,10.1292069201453
"111",2.70260939971771,2.03256147033209,0.670047929385622,0.152566370544035,5.32244038024962,5.32244038024962
"112",1.57528647228121,2.03756033696548,0.11273165685427,NA,NA,NA
"113",1.01625098754171,0.863684616997678,0.252566370544162,NA,NA,NA
"114",51.4944837025658,31.5538305435497,77.1825772636245,NA,NA,NA
"115",NA,NA,7.47490520085609,NA,NA,NA
"116",3.28286815210451,9.31551596445481,12.3624334447771,3.04691748032232,0.203287489203398,NA
"117",0.235950671782193,0.716106188483147,1.0032804363353,4.3152558597925,3.45767129719512,0.459902353303936
"118",8.30644617564775,NA,NA,NA,NA,0.20000000000008
"119",1.77405612183197,1.03749284547257,0.0999999999999127,0.12196983776239,0.304858302357785,NA
"120",0.00541772801363913,1.97933663198735,2.07933663198736,0,0.158795811533724,0.158795811533724
"121",2.62085036474713,NA,NA,NA,NA,NA
"122",1.05738887586473,3.94755387702394,3.25784720287648,NA,NA,NA
"124",26.5970633241459,0,0.177361387139088,0.438359260363615,0.807119330522797,1.19754150194577
"125",1.27287432474577,32.7197964714242,33.8926707961698,1.21062948644712,32.9684444021575,34.1293770399764
"126",107.77445253481,NA,NA,NA,NA,NA
"127",0.780392444614932,38.4487440072582,30.4323312074144,NA,NA,NA
"128",0.118280034054209,0.677178598961065,1.0332586660165,0.356080067055431,NA,NA
"129",4.80020704045248,6.80964505387039,11.7401685469959,5.21988461851377,7.91271774169545,NA
"130",5.65721348760886,NA,NA,NA,NA,NA
"131",70.7261396176286,NA,NA,78.8648261412088,NA,NA
"133",17.2394622525282,4.8720778426744,NA,NA,3.95080408030012,NA
"134",4.00809279250651,3.68432669819445,0,NA,NA,5.03521844145353
"135",118.418421492117,28.4660285888053,88.5657095317058,NA,NA,1.6190750852178
"136",80.3684018123589,NA,NA,NA,NA,NA
"139",17.8775152099761,NA,NA,NA,NA,NA
"141",48.7717753363965,46.4515542794645,95.3448283896807,NA,NA,94.063696650769
"144",102.154095258338,0.170887981984679,0,0.260388220599909,0.160388220600003,0.181760618641829
"145",47.52364702917,NA,NA,NA,NA,NA
"146",43.3967003144034,0.755989326099367,1.36031394069929,0.573586223900023,0.400859402237627,0.213145555994507
"148",47.5358632286845,40.849993391653,7.57047006531615,NA,NA,NA
"149",82.3936292306413,8.29383610609163,52.5315840749959,0.702379987060151,0.227546387169647,0.227546387169647
"150",73.2332136116486,23.064239740604,51.9105181312052,0.287209656761093,0.284159287285469,0.388342667888671
"151",47.9127259990229,28.4528655349943,76.5339558460332,59.3310785093812,52.4842665262448,111.613131356334
"152",62.8797870068639,25.8701501731579,94.7802748548433,66.5069039753433,3.39946253525569,NA
"154",82.725687833693,13.1624423698249,NA,NA,NA,NA
"155",46.9149289772669,5.59510737028701,47.2277820293908,41.6326746591038,8.32066494837691,26.1125297271379
"156",46.0059906853142,0.149394485946268,0.101129698754099,0.132210124170702,0.822708184283038,NA
"158",58.870108944716,28.1011867785546,17.7037554965498,NA,NA,NA
"159",49.7173017346651,3.89601176888521,0.238188871927628,1.10365540331242,1.10365540331242,0.35870028465868
"160",23.0924272350445,NA,NA,NA,NA,NA
