"","Fish","Length_mm","n_surveys","homerange_km","cumuldist_km","winter22winter23_km","spring22spring23_km","summer21summer22_km","summer22summer23_km","summer21summer23_km","winter_section","spring_section","summer_section","winter_designation","spring_designation","summer_designation","mn_upstream_km","mn_winter_upstream_km","mn_spring_upstream_km","mn_summer_upstream_km"
"51",51,290,14,4.02611581226323,11.1868728560578,0.321167637537016,0.868234630895314,0.861487226365897,0.0774069209525514,0.784080305413346,"Headwaters","Headwaters","Headwaters","Headwaters","Headwaters","Headwaters",452.80953657832,452.467184379215,453.154171438766,452.940732913757
"52",52,331,14,8.08822764616939,31.6229625111156,1.04164390725006,0.108305275038408,0.334042299508364,0.0148790043822746,0.348921303890639,"Upper","Headwaters","Headwaters","Mainstem","Headwaters","Headwaters",451.445240570117,446.02088306167,452.936867902162,452.826441888361
"53",53,293,12,0.841776323969715,3.10789993911592,0.781570705147666,0.792264676597801,0.42632822484319,NA,NA,"Headwaters","Headwaters","Headwaters","Headwaters","Headwaters","Headwaters",452.84622702563,452.857591531843,452.802732898746,452.840932310405
"54",54,330,14,102.487064004101,341.049768493523,6.26718376286752,3.80080160478612,46.3146242687338,10.2806414099147,36.0339828588191,"Upper","Upper","Headwaters","Mainstem","Trib","Headwaters",444.458146655251,442.734365128644,417.268940881917,477.949913363253
"55",55,297,9,56.2386773410022,107.710409786568,NA,54.4519246920495,6.00739955758107,NA,NA,"Upper","Headwaters/Upper","Headwaters","Mainstem","Headwaters/Trib","Headwaters",436.237288569248,428.565136160733,435.496403943219,454.083996550172
"56",56,300,13,12.2477446922937,44.7559489548539,1.70773714345536,3.9173106566351,7.80915293620674,1.09937339156551,6.70977954464122,"Upper","Headwaters/Upper","Headwaters","Mainstem","Headwaters/Mainstem","Headwaters",451.302324532648,447.495573587022,450.861398795001,455.340021814352
"57",57,288,12,17.9598244472593,63.649223883627,2.6559675597276,9.82453794331807,0.969548178135768,NA,NA,"Upper","Upper","Upper","Mainstem","Mainstem","Mainstem",439.504557051656,430.305664520818,439.526376085614,446.452731099146
"58",58,297,8,18.4542030952454,38.0607768953589,18.4542030952454,NA,0.954446181625782,2.10681688649399,1.15237070486821,"Upper","Upper","Upper","Mainstem","Mainstem","Mainstem",441.245397397284,438.947378001371,432.223497160091,446.871530347133
"59",59,350,10,43.4594861342266,86.9092472494116,NA,NA,0.1807954966487,NA,NA,"Upper","Upper","Upper","Mainstem","Trib","Mainstem",428.932157010756,428.977680740954,419.260675562235,440.570967623088
"60",60,346,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Upper",NA,NA,"Mainstem",440.480569874764,NA,NA,440.480569874764
"61",61,335,14,1.95044881491564,8.31069233482047,1.11488004735554,1.15277401181103,0.0228867060875818,0,0.0228867060875818,"Upper","Upper","Upper","Mainstem/Trib","Mainstem/Trib","Mainstem",438.458389557123,438.235298035117,438.254245017345,438.306275712767
"62",62,304,3,2.74856899151202,3.16941843993596,NA,NA,NA,NA,NA,"Upper",NA,"Upper","Mainstem",NA,"Mainstem",439.983114086909,440.618737451797,NA,438.291017908709
"63",63,335,12,81.6208703145772,168.409253781966,5.01457853595235,NA,2.95008034508655,NA,NA,"Upper","Middle","Upper","Mainstem","Mainstem","Mainstem/Trib",429.007016395769,438.553901168398,398.813522679793,439.766058081252
"64",64,320,14,1.44055271487114,6.88405243959933,0.862507230472904,0.227483817022426,0,0.0999999999999682,0.0999999999999682,"Upper","Upper","Upper","Mainstem","Mainstem","Mainstem",431.063940442571,431.095539280752,430.92179568164,431.293922743335
